price,security_deposit,cleaning_fee,availability_365,review_scores_value
124,200.0,20.0,220.44979367262724,9.305147058823529
120,805.2062841530054,104.45833333333333,45.0,10.0
90,200.0,30.0,155.0,9.0
267,805.2062841530054,150.0,348.0,9.0
79,250.0,80.0,270.0,10.0
55,500.0,80.0,36.0,9.0
40,150.0,10.0,180.0,9.0
548,2000.0,100.0,354.0,10.0
139,150.0,90.0,289.0,9.0
100,500.0,104.45833333333333,133.0,10.0
34,805.2062841530054,19.0,183.0,10.0
38,805.2062841530054,50.0,15.0,9.0
35,805.2062841530054,104.45833333333333,220.44979367262724,8.0
246,805.2062841530054,180.0,365.0,9.305147058823529
225,1000.0,104.45833333333333,138.0,10.0
150,150.0,75.0,219.0,9.0
171,805.2062841530054,104.45833333333333,220.44979367262724,10.0
250,800.0,160.0,311.0,9.0
55,200.0,30.0,143.0,9.0
105,805.2062841530054,104.45833333333333,365.0,10.0
55,805.2062841530054,104.45833333333333,220.44979367262724,10.0
75,200.0,55.0,220.44979367262724,10.0
650,805.2062841530054,104.45833333333333,220.44979367262724,9.305147058823529
79,300.0,104.45833333333333,220.44979367262724,10.0
142,805.2062841530054,100.0,365.0,9.305147058823529
150,200.0,90.0,3.0,10.0
85,805.2062841530054,50.0,33.0,9.0
250,805.2062841530054,100.0,252.0,10.0
502,800.0,100.0,117.0,9.0
691,805.2062841530054,180.0,220.44979367262724,10.0
903,805.2062841530054,104.45833333333333,220.44979367262724,10.0
133,500.0,150.0,340.0,7.0
1000,10000.0,104.45833333333333,220.44979367262724,9.305147058823529
112,373.0,131.0,135.0,10.0
179,805.2062841530054,100.0,362.0,9.305147058823529
158,805.2062841530054,26.0,267.0,8.0
115,805.2062841530054,104.45833333333333,145.0,9.0
60,805.2062841530054,104.45833333333333,180.0,9.305147058823529
90,805.2062841530054,104.45833333333333,340.0,9.0
599,100.0,104.45833333333333,179.0,10.0
52,805.2062841530054,25.0,109.0,10.0
150,805.2062841530054,45.0,220.44979367262724,10.0
240,805.2062841530054,175.0,143.0,10.0
42,805.2062841530054,104.45833333333333,88.0,9.305147058823529
58,200.0,60.0,316.0,8.0
306,805.2062841530054,104.45833333333333,95.0,10.0
60,805.2062841530054,5.0,220.44979367262724,10.0
65,805.2062841530054,104.45833333333333,220.44979367262724,9.0
30,805.2062841530054,20.0,193.0,9.0
1492,1570.0,942.0,293.0,8.0
317,560.0,104.45833333333333,364.0,10.0
399,805.2062841530054,104.45833333333333,220.44979367262724,10.0
108,805.2062841530054,99.0,343.0,10.0
135,805.2062841530054,75.0,353.0,10.0
3499,805.2062841530054,104.45833333333333,365.0,9.305147058823529
47,805.2062841530054,104.45833333333333,220.44979367262724,9.305147058823529
