latitude,longitude,price,score
45.49039,-73.58595,21,8
40.68174,-73.91365,125,10
41.37783,2.17774,91,8
22.30515,114.17242,298,9
40.72404,-73.99529,200,9
-22.8914216959,-43.2187224584,172,9
40.63199,-74.02972,59,10
40.79733,-73.93955,110,9
41.39193,2.15255,130,6
22.27681,114.18233,353,9
20.79664,-156.5039,400,9
-22.9806903358,-43.2188944409,518,9
41.00359,28.97622,148,10
40.79208,-73.96482,1000,10
41.06422,28.99911,100,9
-22.9837650107,-43.1984168723,149,9
19.43344,-155.2403,105,10
40.72808,-73.98763,200,10
40.99459,29.03075,47,10
41.37479,2.15566,130,10
22.28737,114.14238,903,8
40.78626,-73.94429,40,10
-34.08087,151.15761,109,10
22.29099,114.20854,447,10
22.28354,114.14881,1484,10
40.69034,-73.95321,110,10
40.68135,-73.77835,90,9
41.03406,28.97994,385,9
22.29643,114.17545,463,10
41.38701,2.17561,25,9
-22.9204789778,-43.1899284846,209,10
-33.90987,151.2009,75,9
40.70528,-73.94384,60,9
-22.862647394,-43.249729832,134,9
41.00404,28.98018,506,9
22.28352,114.15076,793,9
45.47348,-73.58664,70,10
40.83307,-73.93957,48,9
41.03445,28.98789,211,10
41.14736,-8.61504,40,9
41.40462,2.15884,60,7
41.01499,29.08565,53,9
40.6884,-73.97527,250,10
40.68779,-73.98517,189,9
41.3719,2.16622,84,9
19.26787,-155.87508,65,9
21.37812,-157.74147,189,9
41.14507,-8.61655,80,10
19.61171,-155.97975,100,10
-23.0027393652,-43.4256490483,933,9
21.61601,-158.08687,895,9
-22.9765042066,-43.1899164471,187,9
19.20636,-155.89926,169,10
-33.87521,151.22133,119,8
40.87794,29.06648,348,9
22.317520000000002,114.25746,188,10
-33.88944,151.23526,461,10
45.51625,-73.55495,60,9
-22.985703885,-43.2024623285,351,10
41.40349,2.15759,40,9
41.14684,-8.60106,58,9
22.30549,114.17127,447,9
40.7113,-73.99442,100,10
-22.9858161998,-43.1922974911,306,8
40.75482,-73.96776,350,9
21.28572,-157.83857,135,10
41.01001,28.977,359,9
41.38005,2.15395,65,10
40.73598,-73.98161,125,9
22.31915,114.16984,298,10
41.04768,28.98361,95,9
40.76438,-73.99482,125,10
40.6536,-73.94883,47,10
40.862,29.11608,359,9
40.71353,-73.96216,125,10
-22.9382574663,-43.1838890521,746,9
41.38475,2.14596,89,9
41.05261,28.99363,417,8
22.30612,114.17237,400,9
40.78898,-73.97589,79,10
41.14366,-8.61825,60,10
-33.86771,151.16994,125,9
40.70017,-73.92081,35,9
40.68675,-73.97713,499,9
41.03301,28.94457,685,9
21.27971,-157.82696,325,8
41.04902,28.98352,90,10
20.78484,-156.46697,239,9
22.31871,114.17082,283,9
40.80732,-73.9648,128,9
22.28186,114.18651,597,8
45.53481,-73.55985,64,10
41.06018,28.98641,227,9
-33.84297,151.21478,161,9
40.98909,29.04503,190,10
22.27928,114.19243,761,9
-23.0087835699,-43.3430271904,451,9
-33.65212,151.31572,500,8
21.2837,-157.83937,99,9
22.30692,114.17106,424,9
41.04095,29.00425,633,9
41.37249,2.15573,85,9
41.42112,2.20085,31,9
41.3791,2.16851,35,9
40.76964,-73.92117,90,10
22.28491,114.13508,550,9
41.39796,2.16126,25,9
-33.90087,151.21181,165,9
40.72182,-73.99449,250,9
40.76485,-73.93959,65,9
41.0344,28.98378,269,9
-22.983691628,-43.3828134144,1000,10
-22.9865504852,-43.2304577872,548,10
41.37587,2.15375,90,9
20.73013,-156.44917,200,9
-33.81861,151.00818,124,9
41.13534,-8.60605,120,10
45.51702,-73.57981,90,9
22.2982,114.17366,267,9
40.68683,-73.92922,79,10
41.37903,2.17877,55,9
41.39142,2.183,40,9
-23.0306477712,-43.4771633079,548,10
22.05273,-159.32835,139,9
19.43327,-155.22212,100,10
41.14464,-8.61181,34,10
40.672,-73.94247,38,9
45.55264,-73.60386,35,8
